label,anatomy,,,isomap,,,MDS,,,tsne,,,PLACE
50,173.21,130.69,78.028,-22.53922257,0.11810371,44.20952486,14.91667281,16.39010601,20.14404056,21.79023978,5.289797868,43.60350507,13
50,173.14,123.65,87.73,-3.039698293,-18.07652866,-41.82929871,1.579550924,-14.97156717,-20.60469479,22.44530976,5.569406802,43.87426834,11
51,184.39,115.02,68.305,-35.44789173,12.73695997,-31.19157158,-13.66586665,35.43529014,-21.72553986,20.78192696,5.26859676,39.69668044,13
51,177.37,120.56,64.671,-20.60624239,-40.80760512,-5.109505534,-17.40972281,-37.75863679,3.826630089,22.07382824,5.715310111,41.2174538,11
51,172.38,116.34,69.131,0.815354247,-0.224435648,-47.30011317,21.11374588,-14.01473897,-8.816994915,23.11364881,6.109673844,42.20369018,16
51,176.05,111.26,70.528,29.9334392,33.17371476,-21.99887687,-24.75483631,5.755185796,16.75035296,24.17868244,6.522448844,43.18460093,11
51,164.66,112.55,73.319,-4.73644092,-0.653987298,45.32875073,12.50067743,42.25789376,17.90466381,24.32953957,6.695577261,42.51806603,12
51,165.1,107.61,68.773,-3.515907087,45.56606788,-10.42741715,19.83461032,42.02824601,6.722914578,22.71626674,6.375595701,38.85458087,1
51,156.68,108.46,67.78,25.69905314,-9.563488854,39.42332685,-20.94204799,-4.444643664,-12.6721982,24.7794401,7.090294389,41.49334057,14
51,150.9,109.42,66.098,5.696820193,-9.057931536,48.7942072,5.551451263,6.90239831,24.36916238,24.71713746,7.208163293,40.530005,3
52,166.17,122.2,68.257,-30.74102346,3.363180491,38.03117468,0.504642761,-0.385521367,27.17548961,24.12050377,7.1669817,38.74008462,8
52,156.5,116.75,66.192,4.445019992,-7.517021327,45.97375585,-16.97259169,-28.53994869,20.4595162,24.12683472,7.302110711,37.96372533,4
53,152,115.98,44.325,1.048035833,-4.662910862,48.17299523,-3.81115655,-17.39760023,-26.69389335,25.27566263,7.789830842,38.97252497,1
53,132.48,109.49,53.22,15.11575566,-6.388588417,-43.7646936,1.677528259,-76.55288834,3.658780657,25.56538552,8.021191453,38.63527093,9
53,124.59,119.83,63.385,-20.86398306,7.611306902,-43.87892697,-6.282939674,-12.9630333,28.25372526,27.43803689,8.761701209,40.64839707,11
53,148.24,107.06,45.31,6.998873405,-4.333721851,47.79082795,12.47029135,38.48281738,15.62150211,26.98874908,8.769176152,39.20218612,16
53,141.87,108.56,47.773,-7.187101023,-9.200370176,48.49769352,-20.75824896,18.67541743,-14.68388684,25.7605992,8.514676974,36.69394268,4
54,158.32,116.96,49.115,-28.58997619,-5.600167597,39.64914668,11.05325306,29.58704271,-24.38395298,26.47174498,8.898772487,36.98291482,6
54,160.24,110.97,44.347,-23.67430025,-7.040099903,40.21476132,-13.90357098,49.1183115,16.65895014,26.92168786,9.202116077,36.89486378,7
58,180.81,128.03,64.432,-44.26095061,2.152961073,-14.66218151,0.080878517,47.50631381,12.89548036,27.33518469,9.498415765,36.75287994,16
1001,106.75,212.58,66.424,-2.855520904,5.392294766,-47.70118828,15.15014879,-22.4302443,4.86055802,26.62069208,9.401588299,35.11971583,14
1001,106.77,201.58,61.521,0.833926366,22.4639631,42.9503777,13.08300161,56.42286569,13.42560134,28.12753995,10.09434961,36.41482372,5
1001,92.307,208.54,60.736,6.14942903,34.3165744,29.30897162,21.51331792,-42.59351963,-10.10715651,27.32085765,9.961402141,34.71396188,2
1001,95.401,198.94,64.437,30.95114009,-30.73452615,11.66341485,-13.87707196,-52.16010107,11.4084396,29.35934061,10.87350576,36.61544031,7
1002,175.41,148.49,99.058,-25.05909738,37.53626463,13.94338248,-8.4287506,-37.41227062,-14.48071464,28.57257007,10.7470674,34.97971798,6
1002,198.66,147.71,95.506,-12.95633248,-21.95465064,38.11540016,-12.74107585,12.57023003,-22.11003091,29.31582795,11.19651735,35.23346742,3
1002,190.67,147.7,95.724,39.25533617,-2.602402245,28.83890838,5.417269052,19.01204565,-18.90852256,29.38039218,11.39209725,34.66813998,1
1003,184.64,191.93,112.07,-42.52977695,-20.44305159,-12.4412216,2.550388828,-68.0559832,-14.1482878,28.95015328,11.39435555,33.54080042,2
1003,177.92,187.64,112.66,38.55519558,25.48552296,-0.131085715,-13.18491306,49.29632716,5.283240773,31.0231583,12.39217253,35.29266341,9
1003,190.19,179.61,117.39,-29.78450951,-18.2765815,34.05382102,-2.031472224,-84.46524478,1.630352889,31.04812186,12.58494169,34.6842514,1
1003,180.11,178.38,115.18,30.96025493,28.23661914,18.2244843,-9.677571139,-71.77250444,2.166261165,30.03074974,12.35009893,32.94434483,12
1003,171.71,186.7,114.5,-18.26771465,-45.90585387,3.013992986,8.056549047,-4.073857821,-12.87554023,32.32711239,13.48638369,34.82690867,1
1003,165.07,190.9,115.45,20.09608046,-18.12097797,-36.75454152,-18.23186536,-25.56889598,-18.82013292,32.45562111,13.733484,34.3386585,4
1003,170.46,177.63,114.91,-44.42675462,3.168134125,-21.84736789,6.532800948,-4.929786627,26.89305868,30.81444949,13.22352172,32.01855574,6
1003,159.53,183.29,110.21,2.008591991,-11.426075,-46.93076494,13.76904458,6.244228838,10.90966047,32.06362567,13.95239509,32.72042055,5
1005,66.638,161.26,65.546,22.69583313,43.20792778,1.198170594,20.26933953,13.08301401,5.988918957,33.25044189,14.66966485,33.32452984,3
1005,56.783,155.1,68.248,2.483938648,32.08153885,35.47860717,0.681060111,-17.56197804,-26.72044698,33.92774305,15.17432056,33.39487337,14
1005,53.034,148.27,60.265,-0.846025373,-2.159035882,-47.72387671,-11.0479595,49.50057612,-18.86348945,33.63548381,15.24859955,32.51434266,6
